patient_id,ho_ten,cccd,ngay_sinh,so_dien_thoai,email,dia_chi,benh,ket_qua_xet_nghiem,bac_si_phu_trach,ngay_kham
8da8eee4-0df5-4ac6-b96b-648a0ba6eab9,Khoa Đức Đặng,131909248762,1942,0739313215,janehoang@example.com,"047 Ánh Nguyễn, 760021",Tiểu đường,4.55,Yến Vũ,17/04/2026
fe716b14-15ce-4a66-8dc8-2a1ef2f9e5fa,Quý ông Vũ Hoàng,303911142817,1979,0713055708,hnguyen@example.net,"99 Nhật Phú Bùi, 351516",Khỏe mạnh,8.02,Bác Trung Trần,23/02/2026
4a8ff810-784c-4f29-9804-02a2b07aa066,Phúc Mai,852282305248,1986,0568214448,ghoang@example.org,"18 Chị Lâm Nguyễn, 931131",Tim mạch,11.75,Nhiên Mai Vũ,01/05/2026
b04d3376-77fc-4703-9fd5-a423706c5c56,Chị Khoa Bùi,088062207223,1971,0996699727,janetran@example.com,"5 Kim Mai Bảo Dương, 142185",Tiểu đường,6.5,Chị Bảo Phạm,01/05/2026
6f962882-95d8-4980-bf37-d19c2e76128b,Ông Ông Anh Hoàng,959473721329,1965,0567746202,nguyenjohn@example.org,"6 Anh Dũng Dương, 221552",Tiểu đường,6.32,Bác Nam Phạm,02/03/2026
5c9d927d-84b8-41bb-b005-68d20de051a6,Quý ông Bác Hoàng Bùi,016204787688,1954,0782543183,john34@example.org,"9 Quý cô An Bùi, 982277",Tiểu đường,9.19,An Xuân Vũ,26/03/2026
b77350ca-eec2-49dc-bf95-897c276aa6ce,Vân Lê,687859964862,1965,0581231239,jane78@example.net,"982 Bà Lan Phạm, 396578",Khỏe mạnh,11.33,Hoàng Phạm,11/05/2026
7250ee18-260a-4962-9d81-b7f57d5911c6,Khoa Thế Lê,872031954196,1991,0504910601,john47@example.com,"Hưng Hữu Dương
76 Hưng Hữu Dương, 138817",Huyết áp cao,4.94,Quang Mai,14/01/2026
b8f21423-03ed-41f8-b4f9-3d17e912b4bf,Xuân Lê,664505730362,1940,0936472387,jane75@example.com,"8 Hưng Tấn Lê, 817644",Tiểu đường,8.73,Tùng Đặng,26/02/2026
b4323070-a23d-4c2f-82a7-96891933918c,Thành Mai,792463203747,1986,0708276817,johntran@example.com,"23 Quý cô Mai Trần, 501126",Tiểu đường,11.16,Châu Hữu Phạm,19/01/2026
75a66981-4104-48b5-a34d-b7c5760debbb,Duyên Vũ,677537260321,2001,0525775458,jane87@example.com,"JanePhường
43 Trung Văn Lê, 348728",Tim mạch,8.5,Tú Đặng,08/02/2026
fa5a91ca-059d-455d-8b94-3e30b303f438,Lâm Trần,450576619458,1998,0772629052,tranjohn@example.net,"5 Chị Nhật Dương, 926918",Huyết áp cao,9.94,Ông Quang Mai,06/04/2026
53a3dd5a-4b8c-4bdc-a8dd-5e5a1712fb16,Minh Đặng,870715534820,1992,0918768316,john53@example.net,"Tùng Phú Trần
236 Tùng Phú Trần, 114594",Khỏe mạnh,7.58,Cô Nhật Trần,01/03/2026
431d029f-ac1e-46d8-bfbf-397bac3e7b0d,Chị Nhật Đặng,128400838507,1984,0382717217,jane06@example.org,"1 Trọng Đức Lê, 419149",Tiểu đường,4.53,Ông Vi Lê,27/04/2026
5efa9c5b-7421-4f46-a37e-4b0122bae10e,Quý ông Tùng Trần,659759545089,1983,0537399205,jane10@example.com,"773 Bác Tùng Phạm, 389282",Khỏe mạnh,8.08,Cô Ánh Dương,13/01/2026
98de8ebb-a3b5-4ece-a446-be72364c911a,Quang Trí Phạm,177680898126,1953,0522999362,edang@example.org,"529 Phúc Mai, 793169",Khỏe mạnh,7.53,Lâm Lê,16/02/2026
52e2afd9-96bf-40ab-bce9-15e7c9d6a63b,Quý cô Nhật Bùi,574223196463,1939,0365914388,tranjane@example.com,"89 Quý cô Ngọc Trần, 132663",Tiểu đường,8.25,Nhật Thị Lê,25/02/2026
e8e22743-b65f-4ea9-bd82-42641ba362e7,Ông Thành Thế Trần,004023693626,1979,0532553983,qnguyen@example.org,"98 Lan Mai xã, 573489",Huyết áp cao,6.92,Quý ông Thành Dương,22/02/2026
6d4067f4-5003-4b35-9857-8bafbac7e2b9,Hà Trí Đặng,894301204713,1985,0784461777,janevu@example.net,"5 Chị Mai Bùi, 886730",Khỏe mạnh,11.22,Mai Dương,20/03/2026
81e5c9f6-93f2-47cc-9a85-910d5a057c11,Hạnh Hoàng,727117595749,1951,0526430954,otran@example.org,"89 Hà Hoàng Bùi, 468074",Huyết áp cao,7.43,Anh Vũ Phạm,16/03/2026
bdb025ff-2451-45a4-91d0-59b26699cd99,Hưng Hữu Bùi,885582984933,1951,0797912799,phamjane@example.org,"9 Quý cô Lan Mai, 564637",Huyết áp cao,6.88,Quý ông Khoa Dương,05/02/2026
585d3f86-1d23-44e6-8329-20b7c143f426,Anh Quang Mai,067458476094,1970,0802927120,janepham@example.com,"32 Khoa Tấn Trần, 551574",Huyết áp cao,4.85,Hải Hữu Vũ,03/04/2026
ab05347f-d556-437d-8f08-81ee8011316b,Chị Hải Nguyễn,412833372188,1967,0739787137,john69@example.net,"6 Ánh Phạm, 582446",Tim mạch,6.76,Chị Lâm Bùi,01/02/2026
1422373f-8622-48d1-a683-e10796c044d0,Cô Kim Phạm,566695413297,1959,0729883220,duongjohn@example.net,"52 Bà Linh Hoàng, 731661",Tim mạch,8.59,Cô Xuân Nguyễn,02/03/2026
72eb7474-9458-454e-8287-4f069050f7ef,Phương Thế Phạm,150666267055,1940,0325608320,vpham@example.org,"1 Cô Hải Nguyễn, 180458",Tim mạch,5.8,Tú Tấn Nguyễn,08/03/2026
f4488385-8de7-4d6c-9490-77c27674456f,Anh Tùng Phạm,143776936634,1982,0348797888,tranjohn@example.com,"1 Bác Trung Đặng, 648141",Tiểu đường,5.11,Phương Mai Bảo Hoàng,20/02/2026
990f0c5b-adcc-4daf-969f-3ab3c6435300,Bà Linh Trần,392529596111,1940,0975358523,dangjohn@example.com,"19 Khoa Dương, 843266",Tiểu đường,6.21,Tú Bảo Lê,19/02/2026
20b71785-d02c-40c1-9417-0a17caaa5bbe,Bác Châu Nguyễn,102867120072,1972,0960030443,jane69@example.com,"33 Quý cô Mai Bùi, 908320",Tim mạch,9.4,Dũng Xuân Dương,25/04/2026
6070b6a1-98e5-4499-a18c-6e1c9e374f7a,Bà Hà Bùi,024559102451,1994,0819951715,jane68@example.com,"94 Anh Quang Dương, 485709",Tim mạch,4.66,Quý ông Quý ông Hoàng Đặng,07/03/2026
d11fc8c0-297c-44ff-b75d-599f6b2d5b09,Chị Ánh Vũ,091090326714,1939,0539102929,tranjohn@example.org,"12 Cô Thành Trần, 956375",Tiểu đường,6.61,Yến Vũ,07/01/2026
62dbc850-3c5b-43a7-9fbb-f0b1808389c8,Ông Hưng Mai,949819421794,1937,0701437483,jane87@example.net,"2 Nhật Lê, 975522",Tim mạch,8.7,Quý cô Nhật Bùi,01/02/2026
6b79afcc-3d0a-4f0c-8c39-4ec71f317405,Ông Ông Trọng Vũ,281793406527,1978,0393096713,phamjane@example.org,"953 Cô Thành Trần, 670511",Huyết áp cao,11.71,Kim Bùi,06/01/2026
40ef3935-5f90-4ed6-bb25-664d630aa767,Lâm Nguyễn,758446634533,1960,0971912602,johnvu@example.net,"2 Lan Vũ phố, 407696",Huyết áp cao,11.35,Lan Hoàng,27/04/2026
83f02dc7-4f61-4217-aef1-669450cae32d,Khoa Tấn Mai,722010912172,1938,0513217672,vujane@example.com,"15 Khoa Đức Bùi, 620306",Khỏe mạnh,7.64,Quý cô Khoa Hoàng,15/04/2026
6e3c4532-1434-4f62-acac-028cba220065,Dũng Hải Vũ,214559376618,1941,0319111661,jane26@example.org,"70 Bảo Trí Bùi, 803787",Tiểu đường,5.76,An Mai,19/01/2026
702c1821-c804-4fb7-ad97-3b679b89e5cb,Nhật Vũ,943705263510,1952,0520190725,jane46@example.net,"57 Bà Hà Phạm, 392227",Tiểu đường,10.6,Anh Phúc Vũ,07/03/2026
1e2595b8-8fc9-486b-a9dd-ebf563119aca,Chi Đặng,046277657256,1951,0973393049,lnguyen@example.net,"715 Phương Lê, 844031",Khỏe mạnh,11.83,Anh Dũng Hoàng,16/01/2026
3c9abe10-238d-4f44-8ac4-d0eb3373730e,Ông Quý cô Lâm Vũ,592024617520,1977,0566538027,jane13@example.org,"67 Bác Khoa Hoàng, 588461",Tiểu đường,7.98,Vũ Dương,26/02/2026
d4d60735-0e2f-4958-9e43-1e06e9247069,Hạnh Mai,238974326005,1957,0781242114,john61@example.net,"438 Trọng Văn Vũ, 790731",Tim mạch,3.54,Cô Hồng Hoàng,11/01/2026
93a74792-c561-48dc-a436-4fcdf2d3f761,Châu Mai,595501783325,1965,0386825095,phamjane@example.org,"647 Lâm Nguyễn, 587002",Tiểu đường,8.06,Quý ông Hưng Hoàng,10/02/2026
fcef1972-bbf4-43ce-91be-b80eb7e6a14c,Bà Dương Lê,848689993607,1972,0529462093,duongjohn@example.org,"210 Vân Dương, 856157",Khỏe mạnh,9.69,Cô Hạnh Phạm,11/05/2026
4efc8248-e10b-4a47-bfae-b7487781321e,Ông Bảo Mai,984870450691,1972,0756103995,odang@example.net,"97 Hạnh Nguyễn, 862847",Tiểu đường,10.72,Bà An Bùi,22/02/2026
5cce5ba9-31d4-4e09-8fd3-3afc91fdfa4f,Nhật Xuân Phạm,767993593744,1972,0597013712,phamjane@example.org,"5 An Thế Nguyễn, 848255",Huyết áp cao,6.95,Hải Đức Nguyễn,21/03/2026
ee6e2e72-53f5-41dc-a3c8-afdb83f82f16,Phúc Bùi,039464083037,1989,0736585856,vujane@example.com,"05 Chi Phạm, 597643",Huyết áp cao,8.87,Anh Khoa Hoàng,30/01/2026
2ba6adb3-7afe-4114-9561-c8130d259caa,Ông Bảo Mai,360601488608,1977,0723041202,johntran@example.org,"36 Vi Vũ, 495129",Tiểu đường,7.79,Chị Nhật Đặng,14/02/2026
de1e994a-c5a1-4f5c-ad05-b9125ab28d4a,Bà An Lê,490793884136,1949,0806159273,jane73@example.net,"37 Ông Trung Hoàng, 701334",Tim mạch,6.33,Quang Thị Đặng,08/02/2026
143b45e3-b6d1-46bb-b48f-709c49a22441,Hoàng Thị Phạm,852830615370,1950,0974029907,tranjohn@example.com,"083 Nhật Bùi, 595351",Khỏe mạnh,4.91,Tùng Bùi,01/01/2026
286ed390-edd9-4a1a-ba58-5b278ce3e7c3,Vũ Nguyễn,124244626325,1982,0366906322,choang@example.org,"0 Hải Lê, 885386",Khỏe mạnh,11.83,Chị Bảo Hoàng,09/02/2026
fba57cc8-edaf-4766-9b78-0ede9a4ffc0c,Dũng Lê,144881121031,1973,0781554203,john07@example.org,"742 Vũ Đức Mai, 640310",Khỏe mạnh,11.96,Lâm Văn Lê,25/01/2026
ef9240b6-52d7-4f10-ba3a-6e9623ff23d3,Hải Nguyễn,421751887817,1952,0703010956,rtran@example.org,"5 Kim Thị Vũ, 525110",Tim mạch,4.42,Linh Lê,18/02/2026
22319050-f515-4494-b818-cfd33889936a,Ánh Phạm,941515263840,1962,0897564915,janepham@example.com,"9 Thành Đặng, 630041",Huyết áp cao,4.74,Dũng Mai,22/04/2026
3495311e-ae27-4432-9dc1-e7eb711c7673,Ông Mai Phạm,911225288375,1994,0895546234,qduong@example.org,"7 Chị Ngọc Vũ, 328486",Huyết áp cao,8.19,Kim Mai Bảo Bùi,15/02/2026
0f6ce9bf-fe7e-4362-8a89-b0f0105291d3,Thành Hữu Phạm,056618632397,1956,0812476010,znguyen@example.org,"Mai Trần
825 Mai Trần, 654531",Tiểu đường,5.45,Duyên Bùi,09/05/2026
8b60c511-b816-4aeb-ac6a-7c8576876c62,An Bảo Trần,913787655300,1953,0901810306,jane45@example.org,"6 Bà Phương Trần xã, 726822",Tim mạch,9.85,Nam Phạm,22/02/2026
c11f6bf5-379e-4467-8a2d-b2e63bfda8a6,Hương Mai,730950556057,2007,0931764172,tmai@example.net,"428 Quý ông Châu Hoàng, 720407",Khỏe mạnh,3.98,Anh Đặng,07/01/2026
abdd1a8f-a4b0-4c89-b10b-ce9c582b91ee,Tùng Bùi,121988192778,1965,0880808157,ybui@example.net,"27 Quý cô Hương Phạm, 313214",Tiểu đường,8.42,Quý cô Hà Vũ,13/01/2026
0d31812e-30c3-4756-9453-f867b97e6224,Nam Phú Vũ,851905348640,1979,0329015071,pdang@example.com,"03 Anh Bảo Mai, 678897",Khỏe mạnh,3.63,Trung Đức Dương,11/03/2026
5c11ab6d-42f5-43f5-8ef4-c34d5bf86f3c,Quý ông Khoa Trần,104246245618,1990,0580671307,jane56@example.net,"2 Anh Hoàng Mai, 445888",Tim mạch,4.93,Anh Dũng Vũ,07/03/2026
566a9ce7-af52-4b94-b186-e47aa7946320,Bảo Bảo Vũ,517446004521,1968,0551045847,bduong@example.com,"0 Nhật Mai Vũ, 342675",Khỏe mạnh,9.01,Kim Thị Vũ,02/01/2026
0f79a8a7-5f8a-44bd-b4bd-0c938177b661,Quý ông Hoàng Thế Bùi,289915114551,1974,0736213009,vujane@example.net,"862 Anh Xuân Phạm, 380310",Khỏe mạnh,6.12,Quý cô Chi Mai,02/03/2026
39d1c7ff-b27e-4442-bd7f-e9733e42df5b,Anh Bùi,293913044881,1942,0825885766,jane70@example.org,"2 Thành Trí Dương, 144618",Tiểu đường,11.13,Bà Bảo Lê,04/03/2026
af36b8cc-1308-4974-ac95-b3ac0beb7c34,Hoàng Mai Dương,898484160461,1983,0947031805,janepham@example.com,"429 Vũ Hải Vũ, 859340",Tim mạch,6.86,Khoa Trần,08/01/2026
1375ee90-d6b3-41e4-bb6d-ca0d6fe5040b,Phúc Thị Bùi,540211901707,1937,0539627466,jane55@example.org,"29 Cô An Hoàng, 261712",Tiểu đường,10.48,An Đặng,11/02/2026
f165d779-0154-4950-976d-e21f1b46ebdc,An Phú Lê,568142983152,1990,0821591832,john66@example.com,"015 Quý cô Khoa Hoàng, 917018",Huyết áp cao,5.67,Bảo Văn Mai,29/04/2026
85671b58-926b-4fa5-be24-5fbffa698cd2,Nhật Vũ,291073228360,1954,0800046661,johnduong@example.org,"71 Ông Châu Trần, 212168",Huyết áp cao,5.77,Bảo Hữu Mai,13/02/2026
dcb9075e-cdd7-4460-a140-77d39ec4ea48,Quý ông Bảo Nguyễn,849378306396,1994,0759011079,janebui@example.org,"52 Quý cô Ánh Dương, 494322",Huyết áp cao,8.64,Anh Dũng Nguyễn,15/01/2026
ff4cc10f-979c-40cf-b326-1887905881df,An Hoàng,384526969443,2004,0871400493,jane95@example.org,"7 Khoa Mai, 543681",Khỏe mạnh,7.68,Lâm Đức Vũ,04/03/2026
ec6a37ad-81b1-4db9-88cc-4d49669b29b8,Anh Bảo Hoàng,916497016934,1986,0981949053,johnhoang@example.net,"9 Quý cô Phương Phạm, 203396",Huyết áp cao,4.22,Kim Đức Đặng,08/04/2026
9342a09f-b00a-464c-949c-d8d48ed8a80d,Chị Ánh Vũ,292913203301,1969,0352049980,janebui@example.com,"125 Hồng Bùi xã, 202365",Huyết áp cao,8.93,Quý ông Bác Phúc Phạm,09/02/2026
05c8234b-1d76-4a66-b5f5-9cb0cf685878,Lan Bùi,623419031061,1973,0949769873,jane38@example.com,"22 Anh Châu Dương xã, 104666",Tiểu đường,5.88,Quang Vũ,17/03/2026
2fdc9992-8971-4eea-9f3a-098accac2fb5,Bà Chi Dương,537221556684,1943,0337971669,phamjohn@example.org,"1 Anh Hoàng Dương, 240454",Huyết áp cao,9.69,Xuân Lê,16/01/2026
82c56b21-2430-42da-b185-0eb85f90fc87,Phương Trần,732365337746,1963,0941661237,janebui@example.com,"2 Hà Đặng, 156215",Khỏe mạnh,7.12,Chi Bùi,26/01/2026
816462cb-8fc3-47d3-b6bd-80c7624a2a50,Quý ông Khoa Thế Đặng,040672007843,1987,0707794332,janetran@example.org,"04 Kim Dương, 635618",Tiểu đường,8.03,Hạnh Trí Lê,05/02/2026
5deaa737-fdab-4441-92c2-a9608b0901ab,Tùng Mai Bảo Vũ,614244260781,1975,0762389949,john99@example.net,"745 Anh Châu Nguyễn, 739905",Tim mạch,6.2,Bảo Trần,17/04/2026
59cf0b0d-91f0-447d-8f32-1333ce315937,Hải Phạm,975437347642,1947,0919701426,john66@example.com,"Quý cô Hà Lê
2 Quý cô Hà Lê, 845951",Tim mạch,7.68,Kim Đức Lê,19/01/2026
6a0aa7d5-a0b8-4755-84ca-a5a2a1e518a2,Lan Mai,737203763882,1964,0503708782,duongjohn@example.com,"7 Châu Bùi xã, 381581",Tim mạch,11.72,Khoa Hoàng,17/03/2026
c9ce44bd-7c3f-4add-9a38-5db590eeb067,Ngọc Đặng,145841484601,1981,0316020418,gmai@example.net,"32 Chị Phương Vũ, 489906",Khỏe mạnh,5.37,Hạnh Hải Mai,06/04/2026
a7cde143-6de2-4429-bbf0-d9c1c156e501,Chị Hương Vũ,913443899827,1935,0335998989,jane10@example.net,"051 Ánh Lê, 866260",Khỏe mạnh,5.72,Dũng Mai,18/02/2026
c601818b-61fa-41ba-a31a-e7c74c9bff5c,Thành Bùi,802058695073,1976,0821170889,johnduong@example.net,"97 Hoàng Trần, 550246",Tiểu đường,11.47,Hưng Phạm,26/03/2026
999a1d86-99db-4302-8dab-66d33f87dfc2,Lâm Đức Đặng,214644936999,1950,0780186448,johnle@example.org,"61 Bảo Nguyễn, 505629",Tim mạch,3.8,Tú Phú Đặng,06/05/2026
965d744f-0445-41a8-92af-97e4c536c66e,Chị Hà Vũ,516793350557,1951,0521758839,jane81@example.com,"61 Bác Thành Mai, 313068",Huyết áp cao,5.17,Thành Văn Đặng,25/03/2026
a4a5c736-ae59-4a52-a65b-e22bd5a386d9,Bác Huy Bùi,385736801192,1988,0885708200,johntran@example.org,"99 An Thế Dương, 111901",Huyết áp cao,6.77,Nhật Đức Nguyễn,09/03/2026
2abe1585-425e-4259-b884-16d2d28fcf68,Hưng Mai,360376811872,1991,0780675712,fdang@example.com,"9 Phúc Phạm, 694423",Khỏe mạnh,4.7,Chị Khoa Phạm,12/04/2026
b90800f3-ac93-481a-92eb-eab0e4eec67c,Phương Nguyễn,333510409614,1935,0569149611,anguyen@example.com,"086 Thảo Dương, 966120",Tiểu đường,4.59,Cô Phương Đặng,16/01/2026
2de982f8-0d7b-4c04-a6e5-9b32ac5f12ef,Trọng Quang Vũ,973153911498,1999,0587942968,ltran@example.com,"494 Kim Vũ, 673108",Tim mạch,3.54,Huy Nguyễn,04/01/2026
d6ee526b-a2cd-4590-98af-393c8aa2b4c9,Bà Bảo Phạm,307482073651,1990,0927697040,jane97@example.com,"70 Bác Tùng Nguyễn, 490586",Tim mạch,7.93,Ông Anh Khoa Đặng,08/03/2026
13281726-64f4-44d6-91e9-1691a3209116,Phương Nguyễn,189394065578,1952,0953141961,john65@example.org,"329 Trung Thị Lê, 526259",Khỏe mạnh,9.85,Lâm Dương,07/05/2026
769de1e3-4eed-4124-b3b0-d6763527a5c8,Lâm Bùi,201904322302,1946,0760783274,etran@example.com,"68 Bà Thành Hoàng xã, 682959",Tim mạch,6.47,Lâm Mai Bảo Đặng,16/04/2026
0fc98d2e-030f-4be9-9f17-8f9323c97a1e,Tùng Trần,333247073920,1962,0983565179,phamjohn@example.com,"721 Hạnh Mai, 701761",Khỏe mạnh,7.26,Cô Lan Bùi,04/01/2026
5a9c0679-2c3d-47e2-ad39-da75aee70ab2,Chị Vi Bùi,135462127602,1967,0824096496,vujohn@example.org,"68 Ông Thành Trần, 539599",Tiểu đường,10.13,Minh Bùi,15/04/2026
b69f75c5-c82b-41be-a1eb-64e6fd498e20,Cô Hương Trần,508261123126,2001,0883496047,ybui@example.com,"407 Ngọc Mai, 352867",Tim mạch,9.76,Nhật Đức Lê,11/04/2026
d8b48ead-9360-4edf-b82b-5b86f2a32efd,Bà Thảo Phạm,163248889957,1952,0942170285,phamjane@example.org,"3 Thảo Hoàng phố, 158896",Khỏe mạnh,4.53,Ông Nhiên Trần,04/03/2026
33932b6c-9d37-4fb6-aafb-3e9054ec84ce,Khoa Trí Bùi,298937629745,2002,0362259364,jane84@example.com,"851 Ánh Nguyễn, 243079",Tiểu đường,11.59,Chị Nhật Vũ,27/03/2026
8fddbebc-f7ff-48d4-b509-f08a2c988bca,Hà Mai Bùi,493036468719,1957,0982089348,xdang@example.net,"0 Vi Trần, 881549",Tiểu đường,6.32,Bà Khoa Mai,09/05/2026
f68c62e6-e2a4-4909-a2dd-22d52afaab7b,Chị An Lê,120381876920,1967,0888390624,wdang@example.org,"0 Hương Lê, 617033",Khỏe mạnh,10.87,Phương Vũ,19/04/2026
a6a5f0ff-93fb-41d0-9d32-6d9cc9ea356a,Bà Hương Phạm,828323089813,1993,0872879916,idang@example.net,"526 Thành Xuân Vũ, 132498",Huyết áp cao,10.26,Hồng Phạm,27/04/2026
54c29d5c-19ec-4829-8db5-d4412837f418,Bà Duyên Hoàng,881588144582,1988,0391141319,nhoang@example.net,"050 Trọng Mai Phạm, 126985",Tim mạch,6.63,Bác Hoàng Vũ,08/05/2026
4ef03f80-1d91-4e39-9801-4004793bed1b,Bác Hưng Hoàng,206732318297,1942,0559236133,janepham@example.com,"477 Khoa Nguyễn, 800596",Khỏe mạnh,6.26,Phương Trí Nguyễn,30/01/2026
d183010f-6319-429b-973e-7bb90f9ca17b,Cô Phương Mai,168157245000,1999,0860523045,duongjohn@example.org,"9 Hồng Hoàng, 232315",Khỏe mạnh,5.13,Bác Quang Mai,10/05/2026
d2938e6e-ff4d-4930-b3b0-fb536f75ee8a,Minh Đặng,000152911371,1941,0981650254,john17@example.org,"9 Chị Ngọc Phạm, 690016",Huyết áp cao,7.11,Quang Xuân Lê,26/04/2026
620f230b-439e-454c-a930-16eae0bda1ee,Quý ông Hạnh Hoàng,785090255618,1955,0772419165,hoangjohn@example.net,"3 Trọng Xuân Phạm, 957091",Huyết áp cao,4.61,Anh Quang Bùi,21/04/2026
